Gene_accession no.	Gene	Group	Family	Class	Phenotype	PMID	Mechanism of resistance	Notes	Required_gene
aadA15_1_DQ393783	aadA15	aad	Aminoglycoside	Aminoglycoside	Streptomycin	16816399	Enzymatic modification	curated	
aadA16_1_EU675686	aadA16	aad	Aminoglycoside	Aminoglycoside	Streptomycin	19008256	Enzymatic modification	curated	
aadA17_1_FJ460181	aadA17	aad	Aminoglycoside	Aminoglycoside	Streptomycin	22127350	Enzymatic modification	curated	
aadA21_1_AY171244	aadA21	aad	Aminoglycoside	Aminoglycoside	Streptomycin	12760885	Enzymatic modification	curated	
aadA22_1_AM261837	aadA22	aad	Aminoglycoside	Aminoglycoside	Streptomycin	17597002	Enzymatic modification	curated	
aadA23_1_AJ809407	aadA23	aad	Aminoglycoside	Aminoglycoside	Streptomycin	15761062	Enzymatic modification	curated	
aadA24_1_AM711129	aadA24	aad	Aminoglycoside	Aminoglycoside	Streptomycin	18571383	Enzymatic modification	curated	
ant(6)-Ia_2_KF421157	ant(6)-Ia	ant	Aminoglycoside	Aminoglycoside	Streptomycin	24379302	Enzymatic modification	Alternative name ant6, aadE, curated	
aadD_1_AF181950	aadD	aad	Aminoglycoside	Aminoglycoside	Amikacin, Tobramycin	10858352	Enzymatic modification	Alternative name ant(4')-Ia, curated	
aadK_1_M26879	aadK	aad	Aminoglycoside	Aminoglycoside	Streptomycin	2550327	Enzymatic modification	curated	
ant(3'')-Ii-aac(6')-IId_1_AF453998	ant(3'')-Ii-aac(6')-IId	ant	Aminoglycoside	Aminoglycoside	Gentamicin, Streptomycin, Tobramycin	11959575	Enzymatic modification	Alternative name ant(3'')-Ih-aac(6')-Iid, curated	
ant(4')-Ib_1_AJ506108	ant(4')-Ib	ant	Aminoglycoside	Aminoglycoside	Amikacin, Tobramycin	12654668	Enzymatic modification	Alternative name aadA2, curated	
ant(4')-IIa_1_M98270	ant(4')-IIa	ant	Aminoglycoside	Aminoglycoside	Amikacin, Tobramycin	8385262	Enzymatic modification	curated	
ant(4')-IIb_1_AY114142	ant(4')-IIb	ant	Aminoglycoside	Aminoglycoside	Amikacin, Tobramycin	12709326	Enzymatic modification	curated	
ant(6)-Ia_1_AF330699	ant(6)-Ia	ant	Aminoglycoside	Aminoglycoside	Streptomycin	11600397	Enzymatic modification	Alternative name ant6, aadE, curated	
ant(6)-Ib_1_FN594949	ant(6)-Ib	ant	Aminoglycoside	Aminoglycoside	Streptomycin	20479200	Enzymatic modification	curated	
aph(2'')-Ib_1_AF337947	aph(2'')-Ib	aph	Aminoglycoside	Aminoglycoside	Amikacin, Gentamicin, Tobramycin	11557456	Enzymatic modification	curated	
aph(2'')-Ic_1_U51479	aph(2'')-Ic	aph	Aminoglycoside	Aminoglycoside	Amikacin, Gentamicin, Tobramycin	9055984	Enzymatic modification	curated	
aph(2'')-Id_1_AF016483	aph(2'')-Id	aph	Aminoglycoside	Aminoglycoside	Amikacin, Gentamicin, Tobramycin	9593155	Enzymatic modification	curated	
aph(2'')-Ie_1_AY743255	aph(2'')-Ie	aph	Aminoglycoside	Aminoglycoside	Amikacin, Gentamicin, Tobramycin	16201926	Enzymatic modification	curated	
aph(3')-Ia_1_V00359	aph(3')-Ia	aph	Aminoglycoside	Aminoglycoside		6270337	Enzymatic modification	curated	
aph(3')-Ib_1_M20305	aph(3')-Ib	aph	Aminoglycoside	Aminoglycoside		2832861	Enzymatic modification	curated	
aph(3'')-Ic_1_DQ336355	aph(3'')-Ic	aph	Aminoglycoside	Aminoglycoside	Streptomycin	16954315	Enzymatic modification	curated	
aph(3')-Id_1_Z48231	aph(3')-Id	aph	Aminoglycoside	Aminoglycoside		2653965	Enzymatic modification	curated	
aph(3')-IIa_1_X57709	aph(3')-IIa	aph	Aminoglycoside	Aminoglycoside		1664906	Enzymatic modification	curated	
aph(3')-IIb_1_X90856	aph(3')-IIb	aph	Aminoglycoside	Aminoglycoside		8723476	Enzymatic modification	curated	
aph(3')-IIc_1_AM743169	aph(3')-IIc	aph	Aminoglycoside	Aminoglycoside		18419807	Enzymatic modification	curated	
aph(3')-III_1_M26832	aph(3')-III	aph	Aminoglycoside	Aminoglycoside	Amikacin	3937729	Enzymatic modification	curated	
aph(3')-IV_1_X03364	aph(3')-IV	aph	Aminoglycoside	Aminoglycoside		3006668	Enzymatic modification	curated	
aph(3')-Va_1_K00432	aph(3')-Va	aph	Aminoglycoside	Aminoglycoside		6310563	Enzymatic modification	curated	
aph(3')-Vb_1_M22126	aph(3')-Vb	aph	Aminoglycoside	Aminoglycoside		2851496	Enzymatic modification	curated	
aph(3')-Vc_1_S81599	aph(3')-Vc	aph	Aminoglycoside	Aminoglycoside		1663923	Enzymatic modification	curated	
aph(3')-VIa_1_X07753	aph(3')-VIa	aph	Aminoglycoside	Aminoglycoside	Amikacin	2846986	Enzymatic modification	curated	
aph(3')-VIb_1_AJ627643	aph(3')-VIb	aph	Aminoglycoside	Aminoglycoside	Amikacin	16048938	Enzymatic modification	curated	
aph(3')-VIIa_1_M29953	aph(3')-VIIa	aph	Aminoglycoside	Aminoglycoside	Amikacin	2550983	Enzymatic modification	curated	
aph(3')-VIII_1_ATGI01000028	aph(3')-VIII	aph	Aminoglycoside	Aminoglycoside	Amikacin	27965516	Enzymatic modification	Intrinsic in Acinetobacter rudis, curated	
aph(3')-XV_1_Y18050	aph(3')-XV	aph	Aminoglycoside	Aminoglycoside		10390207	Enzymatic modification	curated	
aph(3'')-Ia_1_X53527	aph(3'')-Ia	aph	Aminoglycoside	Aminoglycoside	Streptomycin	2167474	Enzymatic modification	Alternative name aphE, aphD2, curated	
aph(4)-Ia_1_V01499	aph(4)-Ia	aph	Aminoglycoside	Aminoglycoside		6314265	Enzymatic modification	Alternative name hph, curated	
aph(6)-Ia_1_AY971801	aph(6)-Ia	aph	Aminoglycoside	Aminoglycoside	Streptomycin	unpublished	Enzymatic modification	Alternative name aphD, curated, strA	
aph(6)-Ib_1_X05648	aph(6)-Ib	aph	Aminoglycoside	Aminoglycoside	Streptomycin	3039305	Enzymatic modification	Alternative name sph, curated	
aph(6)-Ic_1_X01702	aph(6)-Ic	aph	Aminoglycoside	Aminoglycoside	Streptomycin	3889831	Enzymatic modification	Alternative name str, curated	
aph(9)-Ia_1_U94857	aph(9)-Ia	aph	Aminoglycoside	Aminoglycoside		9174205	Enzymatic modification	curated	
aph(9)-Ib_1_U70376	aph(9)-Ib	aph	Aminoglycoside	Aminoglycoside		unpublished	Enzymatic modification	curated	
rmtB2_1_JN968578	rmtB2	rmt	Aminoglycoside	Aminoglycoside		unpublished	Target protection	Gentamicin, Suggested phenotype: Amikacin, Tobramycin, curated	
rmtF_1_JQ808129	rmtF	rmt	Aminoglycoside	Aminoglycoside	Amikacin, Gentamicin, Tobramycin	22547620	Target protection	curated	
rmtG_1_JX486113	rmtG	rmt	Aminoglycoside	Aminoglycoside	Amikacin, Gentamicin, Tobramycin	23459483	Target protection	curated	
rmtH_1_KC544262	rmtH	rmt	Aminoglycoside	Aminoglycoside	Amikacin, Gentamicin, Tobramycin	23478957	Target protection	curated	
armA_1_AY220558	armA	arm	Aminoglycoside	Aminoglycoside	Amikacin, Gentamicin, Tobramycin	12878520	Target protection	curated	
npmA_1_AB261016	npmA	npm	Aminoglycoside	Aminoglycoside	Amikacin, Gentamicin, Tobramycin	17875999	Target protection	curated	
rmtA_1_AB120321	rmtA	rmt	Aminoglycoside	Aminoglycoside	Amikacin, Gentamicin, Tobramycin	14667745	Target protection	curated	
rmtB_1_AB103506	rmtB	rmt	Aminoglycoside	Aminoglycoside	Amikacin, Gentamicin, Tobramycin	14742200	Target protection	curated	
rmtC_1_AB194779	rmtC	rmt	Aminoglycoside	Aminoglycoside	Amikacin, Gentamicin, Tobramycin	16377684	Target protection	curated	
rmtD_1_DQ914960	rmtD	rmt	Aminoglycoside	Aminoglycoside	Amikacin, Gentamicin, Tobramycin	17158944	Target protection	curated	
rmtD2_1_HQ401565	rmtD2	rmt	Aminoglycoside	Aminoglycoside	Amikacin, Gentamicin, Tobramycin	21078935	Target protection	curated	
rmtE_1_GU201947	rmtE	rmt	Aminoglycoside	Aminoglycoside	Amikacin, Gentamicin, Tobramycin	20368404	Target protection	curated	
ant(9)-Ia_1_X02588	ant(9)-Ia	ant	Aminoglycoside	Aminoglycoside		2993813	Enzymatic modification	Alternative name aad(9), curated, spc	
aac(6')-Ib-cr_1_DQ303918	aac(6')-Ib-cr	aac	Multidrug	Aminoglycoside, Fluoroquinolone, Quinolone	Amikacin, Ciprofloxacin, Tobramycin	unpublished	Enzymatic inactivation, Enzymatic modification	MIC of ciprofloxacin does not always increase above ECOFF PMID 16369542, curated	
aac(6')-Ib-cr_2_EF636461	aac(6')-Ib-cr	aac	Multidrug	Aminoglycoside, Fluoroquinolone, Quinolone	Amikacin, Ciprofloxacin, Tobramycin	17938184	Enzymatic inactivation, Enzymatic modification	curated	
aph(3'')-Ib_2_AF024602	aph(3'')-Ib	aph	Aminoglycoside	Aminoglycoside	Streptomycin	9687410	Enzymatic modification	Alternative name strA, curated, orfH	
aph(3'')-Ib_5_AF321551	aph(3'')-Ib	aph	Aminoglycoside	Aminoglycoside	Streptomycin	12029529	Enzymatic modification	Alternative name strA, curated	
aph(6)-Id_2_AF024602	aph(6)-Id	aph	Aminoglycoside	Aminoglycoside	Streptomycin	8385262	Enzymatic modification	Alternative name strB, curated	
str_1_X92946	str	str	Aminoglycoside	Aminoglycoside	Streptomycin	11735367	Enzymatic modification	curated	
str_2_FN435330	str	str	Aminoglycoside	Aminoglycoside	Streptomycin	20399039	Enzymatic modification	curated	
str_3_AM932524	str	str	Aminoglycoside	Aminoglycoside	Streptomycin	20558469	Enzymatic modification	curated	
aac(3)-IIIb_2_LLLC01000048	aac(3)-IIIb	aac	Aminoglycoside	Aminoglycoside	Gentamicin, Tobramycin	unpublished	Enzymatic modification	curated	
aac(3)-IIa_2_AY138987	aac(3)-IIa	aac	Aminoglycoside	Aminoglycoside	Gentamicin, Tobramycin	12726770	Enzymatic modification	curated	
aac(3)-IIa_3_X13543	aac(3)-IIa	aac	Aminoglycoside	Aminoglycoside	Gentamicin, Tobramycin	3892230	Enzymatic modification	curated	
aac(3)-IIa_4_L22613	aac(3)-IIa	aac	Aminoglycoside	Aminoglycoside	Gentamicin, Tobramycin	8117265	Enzymatic modification	curated	
aac(3)-IIa_5_FJ012882	aac(3)-IIa	aac	Aminoglycoside	Aminoglycoside	Gentamicin, Tobramycin	19055690	Enzymatic modification	curated	
aac(3)-IV_1_DQ241380	aac(3)-IV	aac	Aminoglycoside	Aminoglycoside	Gentamicin, Tobramycin	16331988	Enzymatic modification	curated	
aac(3)-VIa_2_NC_009838	aac(3)-VIa	aac	Aminoglycoside	Aminoglycoside	Gentamicin	16940062	Enzymatic modification	curated	
aph(3')-Ib_2_AJ744860	aph(3')-Ib	aph	Aminoglycoside	Aminoglycoside		15848226	Enzymatic modification	curated	
ant(9)-Ia_2_M69221	ant(9)-Ia	ant	Aminoglycoside	Aminoglycoside		1659306	Enzymatic modification	Alternative name aad(9), curated, spc	
aadA24_1_DQ677333	aadA24	aad	Aminoglycoside	Aminoglycoside	Streptomycin	17650961	Enzymatic modification	curated	
aadA8b_1_AY139603	aadA8b	aad	Aminoglycoside	Aminoglycoside	Streptomycin	19719593	Enzymatic modification	curated	
aadA2b_1_D43625	aadA2b	aad	Aminoglycoside	Aminoglycoside	Streptomycin	85862590	Enzymatic modification	curated	
aac(6')-Ii_1_L12710	aac(6')-Ii	aac	Aminoglycoside	Aminoglycoside	Amikacin, Tobramycin	8239603	Enzymatic modification	curated	
aac(3)-XI_1_CTEG01000046	aac(3)-XI	aac	Aminoglycoside	Aminoglycoside		unpublished	Enzymatic modification	curated	
aac(3)-VIII_1_AB211959	aac(3)-VIII	aac	Aminoglycoside	Aminoglycoside		16506694	Enzymatic modification	curated	
aac(3)-VIII_2_AJ843080	aac(3)-VIII	aac	Aminoglycoside	Aminoglycoside		15827636	Enzymatic modification	curated	
aac(3)-VIII_3_AJ748131	aac(3)-VIII	aac	Aminoglycoside	Aminoglycoside		16258246	Enzymatic modification	curated	
kmr_1_ENA_ACB88605	kmr	kmr	Aminoglycoside	Aminoglycoside	Amikacin, Gentamicin, Tobramycin	25733511	Target protection	curated	
blaNDM-19_1_MF370080	blaNDM-19	blaNDM	Beta-lactam	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam	Unpublished	Enzymatic inactivation	Subclass B1, curated	
blaNDM-20_1_KY654092	blaNDM-20	blaNDM	Beta-lactam	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam	29515538	Enzymatic inactivation	Subclass B1, curated	
blaNDM-21_1_MG183694	blaNDM-21	blaNDM	Beta-lactam	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam	Unpublished	Enzymatic inactivation	Subclass B1, curated	
blaOXA-368_1_KT736121	blaOXA-368	blaOXA	Beta-lactam	Beta-lactam		Unpublished	Enzymatic inactivation	"Class D;, curated"	
blaOXA-336_1_KF048907	blaOXA-336	blaOXA	Beta-lactam	Beta-lactam		25541711	Enzymatic inactivation	"Class D;OXA-51-like;Natural in Acinetobacter baumannii;, curated"	
blaOXA-337_1_KF048908	blaOXA-337	blaOXA	Beta-lactam	Beta-lactam		25541711	Enzymatic inactivation	"Class D;OXA-51-like;Natural in Acinetobacter baumannii;, curated"	
blaOXA-338_1_KF048909	blaOXA-338	blaOXA	Beta-lactam	Beta-lactam		25616788	Enzymatic inactivation	"Class D;OXA-51-like;Natural in Acinetobacter baumannii;, curated"	
blaOXA-339_1_KF048911	blaOXA-339	blaOXA	Beta-lactam	Beta-lactam		25616788	Enzymatic inactivation	"Class D;OXA-51-like;Natural in Acinetobacter baumannii;, curated"	
blaOXA-340_1_KF048912	blaOXA-340	blaOXA	Beta-lactam	Beta-lactam		25616788	Enzymatic inactivation	"Class D;OXA-51-like;Natural in Acinetobacter baumannii;, curated"	
blaOXA-341_1_KF048913	blaOXA-341	blaOXA	Beta-lactam	Beta-lactam		25616788	Enzymatic inactivation	"Class D;OXA-51-like;Natural in Acinetobacter baumannii;, curated"	
blaOXA-342_1_KF048915	blaOXA-342	blaOXA	Beta-lactam	Beta-lactam		25616788	Enzymatic inactivation	"Class D;OXA-51-like;Natural in Acinetobacter baumannii;, curated"	
blaOXA-343_1_KF048916	blaOXA-343	blaOXA	Beta-lactam	Beta-lactam		25616788	Enzymatic inactivation	"Class D;OXA-51-like;Natural in Acinetobacter baumannii;, curated"	
blaOXA-344_1_KF048917	blaOXA-344	blaOXA	Beta-lactam	Beta-lactam		25616788	Enzymatic inactivation	"Class D;OXA-51-like;Natural in Acinetobacter baumannii;, curated"	
blaOXA-345_1_KF048918	blaOXA-345	blaOXA	Beta-lactam	Beta-lactam		25616788	Enzymatic inactivation	"Class D;OXA-51-like;Natural in Acinetobacter baumannii;, curated"	
blaOXA-346_1_KF048919	blaOXA-346	blaOXA	Beta-lactam	Beta-lactam		25616788	Enzymatic inactivation	"Class D;OXA-51-like;Natural in Acinetobacter baumannii;, curated"	
blaOXA-347_1_ACWG01000053	blaOXA-347	blaOXA	Beta-lactam	Beta-lactam		22845886	Enzymatic inactivation	"Class D;Natural in Bacteroides spp.;, curated"	
blaOXA-361_1_KF460531	blaOXA-361	blaOXA	Beta-lactam	Beta-lactam		24288029	Enzymatic inactivation	"Class D;OXA-134-like;Natural in Acinetobacter lwoffii;, curated"	
blaOXA-362_1_KF460532	blaOXA-362	blaOXA	Beta-lactam	Beta-lactam		24288029	Enzymatic inactivation	"Class D;OXA-134-like;Natural in Acinetobacter lwoffii;, curated"	
blaOXA-363_1_KF460533	blaOXA-363	blaOXA	Beta-lactam	Beta-lactam		24288029	Enzymatic inactivation	"Class D;OXA-134-like;Natural in Acinetobacter lwoffii;, curated"	
blaOXA-364_1_JX306689	blaOXA-364	blaOXA	Beta-lactam	Beta-lactam		Unpublished	Enzymatic inactivation	"Class D;OXA-243-like;Natural in Achromobacter dolens;, curated"	
blaOXA-365_1_KF885217	blaOXA-365	blaOXA	Beta-lactam	Beta-lactam		24622099	Enzymatic inactivation	"Class D;OXA-51-like;Natural in Acinetobacter baumannii;, curated"	
blaOXA-366_1_KP050485	blaOXA-366	blaOXA	Beta-lactam	Beta-lactam		Unpublished	Enzymatic inactivation	"Class D;OXA-23-like;Natural in Acinetobacter baumannii;, curated"	
blaOXA-370_1_KJ488943	blaOXA-370	blaOXA	Beta-lactam	Beta-lactam	Piperacillin+Tazobactam	24709259	Enzymatic inactivation	"Class D;OXA-48-like;, curated"	
blaOXA-373_1_HG931732	blaOXA-373	blaOXA	Beta-lactam	Beta-lactam		Unpublished	Enzymatic inactivation	"Class D;OXA-211-like;Natural in Acinetobacter johnsonii;, curated"	
blaOXA-374_1_KF986255	blaOXA-374	blaOXA	Beta-lactam	Beta-lactam		28925528	Enzymatic inactivation	"Class D;OXA-51-like;Natural in Acinetobacter baumannii;ISAba1 insertion into the promoter region is required for carbapenem resistance, curated"	
blaOXA-375_1_KF986256	blaOXA-375	blaOXA	Beta-lactam	Beta-lactam		28925528	Enzymatic inactivation	"Class D;OXA-51-like;Natural in Acinetobacter baumannii;ISAba1 insertion into the promoter region is required for carbapenem resistance, curated"	
blaOXA-376_1_KF986257	blaOXA-376	blaOXA	Beta-lactam	Beta-lactam		28925528	Enzymatic inactivation	"Class D;OXA-51-like;Natural in Acinetobacter baumannii;ISAba1 insertion into the promoter region is required for carbapenem resistance, curated"	
blaOXA-377_1_KF986258	blaOXA-377	blaOXA	Beta-lactam	Beta-lactam		28925528	Enzymatic inactivation	"Class D;OXA-51-like;Natural in Acinetobacter baumannii;ISAba1 insertion into the promoter region is required for carbapenem resistance, curated"	
blaOXA-378_1_KF986259	blaOXA-378	blaOXA	Beta-lactam	Beta-lactam		28925528	Enzymatic inactivation	"Class D;OXA-51-like;Natural in Acinetobacter baumannii;ISAba1 insertion into the promoter region is required for carbapenem resistance, curated"	
blaOXA-379_1_KF986260	blaOXA-379	blaOXA	Beta-lactam	Beta-lactam		28925528	Enzymatic inactivation	"Class D;OXA-51-like;Natural in Acinetobacter baumannii;ISAba1 insertion into the promoter region is required for carbapenem resistance, curated"	
blaOXA-380_1_KF986261	blaOXA-380	blaOXA	Beta-lactam	Beta-lactam		28925528	Enzymatic inactivation	"Class D;OXA-51-like;Natural in Acinetobacter baumannii;ISAba1 insertion into the promoter region is required for carbapenem resistance, curated"	
blaOXA-381_1_KJ135344	blaOXA-381	blaOXA	Beta-lactam	Beta-lactam		28925528	Enzymatic inactivation	"Class D;OXA-51-like;Natural in Acinetobacter baumannii;ISAba1 insertion into the promoter region is required for carbapenem resistance, curated"	
blaOXA-382_1_KJ135345	blaOXA-382	blaOXA	Beta-lactam	Beta-lactam		28925528	Enzymatic inactivation	"Class D;OXA-51-like;Natural in Acinetobacter baumannii;ISAba1 insertion into the promoter region is required for carbapenem resistance, curated"	
blaOXA-383_1_KF986262	blaOXA-383	blaOXA	Beta-lactam	Beta-lactam		28925528	Enzymatic inactivation	"Class D;OXA-51-like;Natural in Acinetobacter baumannii;ISAba1 insertion into the promoter region is required for carbapenem resistance, curated"	
blaOXA-384_1_KF986263	blaOXA-384	blaOXA	Beta-lactam	Beta-lactam		28925528	Enzymatic inactivation	"Class D;OXA-51-like;Natural in Acinetobacter baumannii;ISAba1 insertion into the promoter region is required for carbapenem resistance, curated"	
blaOXA-385_1_KF986253	blaOXA-385	blaOXA	Beta-lactam	Beta-lactam		28925528	Enzymatic inactivation	"Class D;OXA-51-like;Natural in Acinetobacter baumannii;ISAba1 insertion into the promoter region is required for carbapenem resistance, curated"	
blaOXA-386_1_KF986254	blaOXA-386	blaOXA	Beta-lactam	Beta-lactam		28925528	Enzymatic inactivation	"Class D;OXA-51-like;Natural in Acinetobacter baumannii;ISAba1 insertion into the promoter region is required for carbapenem resistance, curated"	
blaOXA-387_1_KJ173478	blaOXA-387	blaOXA	Beta-lactam	Beta-lactam		Unpublished	Enzymatic inactivation	"Class D;OXA-51-like;Natural in Acinetobacter baumannii;, curated"	
blaOXA-388_1_KJ135343	blaOXA-388	blaOXA	Beta-lactam	Beta-lactam		28925528	Enzymatic inactivation	"Class D;OXA-51-like;Natural in Acinetobacter baumannii;ISAba1 insertion into the promoter region is required for carbapenem resistance, curated"	
blaOXA-389_1_KJ135346	blaOXA-389	blaOXA	Beta-lactam	Beta-lactam		28925528	Enzymatic inactivation	"Class D;OXA-51-like;Natural in Acinetobacter baumannii;ISAba1 insertion into the promoter region is required for carbapenem resistance, curated"	
blaOXA-390_1_KJ135342	blaOXA-390	blaOXA	Beta-lactam	Beta-lactam		28925528	Enzymatic inactivation	"Class D;OXA-51-like;Natural in Acinetobacter baumannii;ISAba1 insertion into the promoter region is required for carbapenem resistance, curated"	
blaOXA-391_1_KJ427797	blaOXA-391	blaOXA	Beta-lactam	Beta-lactam		Unpublished	Enzymatic inactivation	"Class D;OXA-51-like;Natural in Acinetobacter baumannii;, curated"	
blaOXA-392_1_AB901044	blaOXA-392	blaOXA	Beta-lactam	Beta-lactam		Unpublished	Enzymatic inactivation	"Class D;OXA-1-like;, curated"	
blaOXA-395_1_AY306133	blaOXA-395	blaOXA	Beta-lactam	Beta-lactam	Amoxicillin, Ampicillin, Meropenem	15155197	Enzymatic inactivation	"Class D;OXA-50-like;Natural in Pseudomonas aeruginosa;The enzyme has weak activity and confers decreased susceptibility but not resistance to the antimicrobials listed. Phenotype expressed in Pseudomonas aeruginosa but not in Escherichia coli., curated"	
blaOXA-396_1_AY306134	blaOXA-396	blaOXA	Beta-lactam	Beta-lactam	Amoxicillin, Ampicillin, Meropenem	15155197	Enzymatic inactivation	"Class D;OXA-50-like;Natural in Pseudomonas aeruginosa;The enzyme has weak activity and confers decreased susceptibility but not resistance to the antimicrobials listed. Phenotype expressed in Pseudomonas aeruginosa but not in Escherichia coli., curated"	
blaOXA-397_1_KM087865	blaOXA-397	blaOXA	Beta-lactam	Beta-lactam		Unpublished	Enzymatic inactivation	"Class D;OXA-58-like;Natural in Acinetobacter baumannii;, curated"	
blaOXA-398_1_KM087842	blaOXA-398	blaOXA	Beta-lactam	Beta-lactam		Unpublished	Enzymatic inactivation	"Class D;OXA-23-like;Natural in Acinetobacter baumannii;, curated"	
blaOXA-400_1_KJ780078	blaOXA-400	blaOXA	Beta-lactam	Beta-lactam		Unpublished	Enzymatic inactivation	"Class D;OXA-51-like;Natural in Acinetobacter baumannii;, curated"	
blaOXA-401_1_KJ780076	blaOXA-401	blaOXA	Beta-lactam	Beta-lactam		Unpublished	Enzymatic inactivation	"Class D;OXA-51-like;Natural in Acinetobacter baumannii;, curated"	
blaOXA-402_1_JX865391	blaOXA-402	blaOXA	Beta-lactam	Beta-lactam		23264451	Enzymatic inactivation	"Class D;OXA-51-like;Natural in Acinetobacter baumannii;, curated"	
blaOXA-403_1_KJ920337	blaOXA-403	blaOXA	Beta-lactam	Beta-lactam		Unpublished	Enzymatic inactivation	"Class D;OXA-51-like;Natural in Acinetobacter baumannii;, curated"	
blaOXA-404_1_KJ920338	blaOXA-404	blaOXA	Beta-lactam	Beta-lactam		Unpublished	Enzymatic inactivation	"Class D;OXA-51-like;Natural in Acinetobacter baumannii;, curated"	
blaOXA-405_1_KM589641	blaOXA-405	blaOXA	Beta-lactam	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Piperacillin, Piperacillin+Tazobactam	25870062	Enzymatic inactivation	"Class D;OXA-48-like;, curated"	
